origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
ZRH,PRG,2025-06-01,ZRH,07:50,1 Jun,PRG,09:05,1 Jun,Swiss,1 stop,328.64,31
ZRH,PRG,2025-06-01,ZRH,22:05,1 Jun,PRG,23:20,1 Jun,Swiss,Direct,328.64,31
ZRH,PRG,2025-06-01,ZRH,12:45,1 Jun,PRG,14:05,1 Jun,Swiss,Direct,328.64,31
ZRH,PRG,2025-06-01,ZRH,17:05,1 Jun,PRG,18:25,1 Jun,Swiss,Direct,328.64,31
ZRH,PRG,2025-06-01,ZRH,17:35,1 Jun,PRG,22:35,1 Jun,KLM,Direct,171.92,31
ZRH,PRG,2025-06-01,ZRH,13:20,1 Jun,PRG,16:05,1 Jun,Austrian Airlines,1 stop,379.50,31
ZRH,PRG,2025-06-01,ZRH,15:40,1 Jun,PRG,20:20,1 Jun,Eurowings,1 stop,255.96,31
ZRH,PRG,2025-06-01,ZRH,08:00,1 Jun,PRG,15:50,1 Jun,Condor,1 stop,182.93,31
ZRH,PRG,2025-06-01,ZRH,18:45,1 Jun,PRG,21:50,1 Jun,Austrian Airlines,1 stop,379.50,31
ZRH,PRG,2025-06-01,ZRH,14:40,1 Jun,PRG,17:50,1 Jun,Lufthansa,1 stop,382.50,31
ZRH,PRG,2025-06-01,ZRH,07:20,1 Jun,PRG,10:35,1 Jun,Austrian Airlines,1 stop,379.61,31
ZRH,PRG,2025-06-01,ZRH,20:00,1 Jun,PRG,23:15,1 Jun,Lufthansa,1 stop,382.50,31
ZRH,PRG,2025-06-01,ZRH,18:00,1 Jun,PRG,22:15,1 Jun,Swiss,1 stop,323.62,31
ZRH,PRG,2025-06-01,ZRH,12:25,1 Jun,PRG,16:05,1 Jun,Austrian Airlines,1 stop,379.61,31
ZRH,PRG,2025-06-01,ZRH,14:35,1 Jun,PRG,20:05,1 Jun,Air Serbia,1 stop,293.74,31
ZRH,PRG,2025-06-02,ZRH,07:50,2 Jun,PRG,09:05,2 Jun,Swiss,1 stop,274.92,32
ZRH,PRG,2025-06-02,ZRH,22:05,2 Jun,PRG,23:20,2 Jun,Swiss,Direct,274.92,32
ZRH,PRG,2025-06-02,ZRH,17:05,2 Jun,PRG,18:25,2 Jun,Swiss,Direct,274.92,32
ZRH,PRG,2025-06-02,ZRH,12:35,2 Jun,PRG,14:00,2 Jun,Swiss,Direct,274.92,32
ZRH,PRG,2025-06-02,ZRH,17:35,2 Jun,PRG,22:35,2 Jun,KLM,Direct,111.36,32
ZRH,PRG,2025-06-02,ZRH,15:40,2 Jun,PRG,20:05,2 Jun,Eurowings,1 stop,154.58,32
ZRH,PRG,2025-06-02,ZRH,14:35,2 Jun,PRG,20:05,2 Jun,Air Serbia,1 stop,145.56,32
ZRH,PRG,2025-06-02,ZRH,10:00,2 Jun,PRG,16:20,2 Jun,Easyjet,1 stop,132.73,32
ZRH,PRG,2025-06-02,ZRH,08:30,2 Jun,PRG,14:20,2 Jun,Easyjet,1 stop,144.16,32
ZRH,PRG,2025-06-02,ZRH,10:00,2 Jun,PRG,15:30,2 Jun,Easyjet,1 stop,179.70,32
