origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
BCN,ZRH,2025-06-01,BCN,07:00,1 Jun,ZRH,08:55,1 Jun,Vueling,1 stop,170.71,30
BCN,ZRH,2025-06-01,BCN,06:00,1 Jun,ZRH,07:40,1 Jun,Swiss,Direct,202.08,30
BCN,ZRH,2025-06-01,BCN,07:00,1 Jun,ZRH,08:55,1 Jun,Iberia,Direct,304.93,30
BCN,ZRH,2025-06-01,BCN,20:00,1 Jun,ZRH,21:45,1 Jun,Swiss,Direct,373.22,30
BCN,ZRH,2025-06-01,BCN,09:40,1 Jun,ZRH,11:30,1 Jun,Swiss,Direct,381.45,30
BCN,ZRH,2025-06-01,BCN,16:35,1 Jun,ZRH,18:35,1 Jun,Vueling,Direct,382.92,30
BCN,ZRH,2025-06-01,BCN,14:55,1 Jun,ZRH,16:40,1 Jun,Swiss,Direct,455.26,30
BCN,ZRH,2025-06-01,BCN,18:35,1 Jun,ZRH,20:25,1 Jun,Swiss,Direct,450.71,30
BCN,ZRH,2025-06-01,BCN,07:45,1 Jun,ZRH,11:40,1 Jun,Easyjet,Direct,255.29,30
BCN,ZRH,2025-06-01,BCN,16:35,1 Jun,ZRH,18:35,1 Jun,Iberia,1 stop,534.40,30
BCN,ZRH,2025-06-01,BCN,10:25,1 Jun,ZRH,15:00,1 Jun,Eurowings,Direct,291.71,30
BCN,ZRH,2025-06-01,BCN,05:45,1 Jun,ZRH,11:40,1 Jun,Vueling,1 stop,262.19,30
BCN,ZRH,2025-06-01,BCN,07:45,1 Jun,ZRH,11:40,1 Jun,Easyjet,1 stop,378.47,30
BCN,ZRH,2025-06-01,BCN,10:35,1 Jun,ZRH,15:50,1 Jun,Singapore Airlines,1 stop,309.80,30
BCN,ZRH,2025-06-01,BCN,21:55,1 Jun,ZRH,07:55,2 Jun,Vueling,1 stop,198.32,30
BCN,ZRH,2025-06-02,BCN,06:50,2 Jun,ZRH,08:50,2 Jun,Vueling,1 stop,115.77,31
BCN,ZRH,2025-06-02,BCN,21:55,2 Jun,ZRH,11:55,3 Jun,Vueling,Direct,78.48,31
BCN,ZRH,2025-06-02,BCN,06:00,2 Jun,ZRH,07:40,2 Jun,Swiss,1 stop,210.59,31
BCN,ZRH,2025-06-02,BCN,12:55,2 Jun,ZRH,14:50,2 Jun,Vueling,Direct,124.29,31
BCN,ZRH,2025-06-02,BCN,20:00,2 Jun,ZRH,21:45,2 Jun,Swiss,Direct,223.30,31
BCN,ZRH,2025-06-02,BCN,18:35,2 Jun,ZRH,20:25,2 Jun,Swiss,Direct,248.97,31
BCN,ZRH,2025-06-02,BCN,12:55,2 Jun,ZRH,14:50,2 Jun,Iberia,Direct,251.15,31
BCN,ZRH,2025-06-02,BCN,06:50,2 Jun,ZRH,08:50,2 Jun,Iberia,Direct,251.15,31
BCN,ZRH,2025-06-02,BCN,23:30,2 Jun,ZRH,08:55,3 Jun,Vueling,Direct,79.02,31
BCN,ZRH,2025-06-02,BCN,08:45,2 Jun,ZRH,13:50,2 Jun,Eurowings,1 stop,125.93,31
BCN,ZRH,2025-06-02,BCN,14:55,2 Jun,ZRH,16:40,2 Jun,Swiss,1 stop,319.94,31
BCN,ZRH,2025-06-02,BCN,09:25,2 Jun,ZRH,15:00,2 Jun,Eurowings,Direct,125.93,31
BCN,ZRH,2025-06-02,BCN,22:40,2 Jun,ZRH,08:55,3 Jun,Vueling,1 stop,80.37,31
BCN,ZRH,2025-06-02,BCN,21:30,2 Jun,ZRH,08:55,3 Jun,Vueling,1 stop,80.37,31
BCN,ZRH,2025-06-02,BCN,20:50,2 Jun,ZRH,08:55,3 Jun,Vueling,1 stop,79.02,31
BCN,ZRH,2025-06-03,BCN,07:00,3 Jun,ZRH,08:55,3 Jun,Vueling,1 stop,73.22,32
BCN,ZRH,2025-06-03,BCN,19:20,3 Jun,ZRH,21:10,3 Jun,Vueling,Direct,78.88,32
BCN,ZRH,2025-06-03,BCN,06:00,3 Jun,ZRH,07:40,3 Jun,Swiss,Direct,122.15,32
BCN,ZRH,2025-06-03,BCN,20:00,3 Jun,ZRH,21:45,3 Jun,Swiss,Direct,122.15,32
BCN,ZRH,2025-06-03,BCN,14:55,3 Jun,ZRH,16:40,3 Jun,Swiss,Direct,171.31,32
BCN,ZRH,2025-06-03,BCN,07:00,3 Jun,ZRH,08:55,3 Jun,Iberia,Direct,186.97,32
BCN,ZRH,2025-06-03,BCN,19:20,3 Jun,ZRH,21:10,3 Jun,Iberia,Direct,202.94,32
BCN,ZRH,2025-06-03,BCN,09:40,3 Jun,ZRH,11:30,3 Jun,Swiss,Direct,209.68,32
BCN,ZRH,2025-06-03,BCN,23:30,3 Jun,ZRH,09:20,4 Jun,Vueling,Direct,61.49,32
BCN,ZRH,2025-06-03,BCN,22:40,3 Jun,ZRH,09:20,4 Jun,Vueling,1 stop,61.49,32
BCN,ZRH,2025-06-03,BCN,21:30,3 Jun,ZRH,09:20,4 Jun,Vueling,1 stop,61.49,32
BCN,ZRH,2025-06-03,BCN,20:50,3 Jun,ZRH,09:20,4 Jun,Vueling,1 stop,61.49,32
BCN,ZRH,2025-06-03,BCN,10:20,3 Jun,ZRH,15:15,3 Jun,Eurowings,1 stop,125.93,32
BCN,ZRH,2025-06-03,BCN,21:55,3 Jun,ZRH,07:55,4 Jun,Vueling,1 stop,81.16,32
BCN,ZRH,2025-06-03,BCN,22:30,3 Jun,ZRH,09:10,4 Jun,Vueling,1 stop,77.43,32
BCN,ZRH,2025-06-04,BCN,07:00,4 Jun,ZRH,08:55,4 Jun,Vueling,1 stop,39.02,33
BCN,ZRH,2025-06-04,BCN,06:00,4 Jun,ZRH,07:40,4 Jun,Swiss,Direct,122.15,33
BCN,ZRH,2025-06-04,BCN,19:05,4 Jun,ZRH,20:55,4 Jun,Vueling,Direct,57.57,33
BCN,ZRH,2025-06-04,BCN,20:00,4 Jun,ZRH,21:45,4 Jun,Swiss,Direct,122.15,33
BCN,ZRH,2025-06-04,BCN,09:40,4 Jun,ZRH,11:30,4 Jun,Swiss,Direct,122.15,33
BCN,ZRH,2025-06-04,BCN,07:00,4 Jun,ZRH,08:55,4 Jun,Iberia,Direct,153.60,33
BCN,ZRH,2025-06-04,BCN,14:55,4 Jun,ZRH,16:40,4 Jun,Swiss,Direct,182.49,33
BCN,ZRH,2025-06-04,BCN,19:05,4 Jun,ZRH,20:55,4 Jun,Iberia,Direct,186.97,33
BCN,ZRH,2025-06-04,BCN,10:30,4 Jun,ZRH,15:00,4 Jun,Eurowings,Direct,107.89,33
BCN,ZRH,2025-06-04,BCN,23:30,4 Jun,ZRH,08:55,5 Jun,Vueling,1 stop,65.26,33
BCN,ZRH,2025-06-04,BCN,15:15,4 Jun,ZRH,21:20,4 Jun,Vueling,1 stop,94.53,33
BCN,ZRH,2025-06-04,BCN,20:30,4 Jun,ZRH,10:10,5 Jun,Air Europa,1 stop,56.41,33
BCN,ZRH,2025-06-04,BCN,21:30,4 Jun,ZRH,08:55,5 Jun,Vueling,1 stop,65.26,33
BCN,ZRH,2025-06-04,BCN,23:30,4 Jun,ZRH,10:40,5 Jun,Vueling,1 stop,67.78,33
BCN,ZRH,2025-06-04,BCN,10:20,4 Jun,ZRH,15:15,4 Jun,Eurowings,1 stop,125.93,33
BCN,ZRH,2025-06-05,BCN,07:00,5 Jun,ZRH,08:55,5 Jun,Vueling,1 stop,36.38,34
BCN,ZRH,2025-06-05,BCN,19:30,5 Jun,ZRH,21:20,5 Jun,Vueling,Direct,73.22,34
