origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
CDG,ZRH,2025-06-02,CDG,17:20,2 Jun,ZRH,18:35,2 Jun,Air France,Direct,128.27,31
CDG,ZRH,2025-06-02,CDG,20:20,2 Jun,ZRH,08:55,3 Jun,Vueling,1 stop,115.78,31
CDG,ZRH,2025-06-02,CDG,09:45,2 Jun,ZRH,11:05,2 Jun,Swiss,1 stop,128.23,31
CDG,ZRH,2025-06-02,CDG,06:45,2 Jun,ZRH,08:00,2 Jun,Swiss,Direct,130.58,31
CDG,ZRH,2025-06-02,CDG,21:10,2 Jun,ZRH,22:30,2 Jun,Air France,Direct,128.27,31
CDG,ZRH,2025-06-02,CDG,19:40,2 Jun,ZRH,21:00,2 Jun,Swiss,Direct,149.23,31
CDG,ZRH,2025-06-02,CDG,12:40,2 Jun,ZRH,13:55,2 Jun,Air France,Direct,218.86,31
CDG,ZRH,2025-06-02,CDG,14:55,2 Jun,ZRH,16:10,2 Jun,Swiss,Direct,230.13,31
CDG,ZRH,2025-06-02,CDG,09:10,2 Jun,ZRH,10:25,2 Jun,Air France,Direct,234.39,31
CDG,ZRH,2025-06-02,CDG,09:45,2 Jun,ZRH,14:05,2 Jun,Lufthansa,Direct,163.93,31
CDG,ZRH,2025-06-02,CDG,10:30,2 Jun,ZRH,14:05,2 Jun,Lufthansa,1 stop,196.03,31
CDG,ZRH,2025-06-02,CDG,14:35,2 Jun,ZRH,19:15,2 Jun,Lufthansa,1 stop,170.46,31
CDG,ZRH,2025-06-02,CDG,08:40,2 Jun,ZRH,15:45,2 Jun,Condor,1 stop,146.68,31
CDG,ZRH,2025-06-02,CDG,17:45,2 Jun,ZRH,22:00,2 Jun,Easyjet,1 stop,220.31,31
CDG,ZRH,2025-06-02,CDG,10:10,2 Jun,ZRH,14:50,2 Jun,Vueling,1 stop,209.56,31
CDG,ZRH,2025-06-03,CDG,17:20,3 Jun,ZRH,18:35,3 Jun,Air France,1 stop,128.27,32
