origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
CPH,ZRH,2025-06-01,CPH,06:40,1 Jun,ZRH,08:35,1 Jun,Swiss,1 stop,138.56,30
CPH,ZRH,2025-06-01,CPH,07:55,1 Jun,ZRH,09:40,1 Jun,Scandinavian Airlines,Direct,445.80,30
CPH,ZRH,2025-06-01,CPH,20:10,1 Jun,ZRH,22:00,1 Jun,Swiss,Direct,339.20,30
CPH,ZRH,2025-06-01,CPH,09:40,1 Jun,ZRH,11:35,1 Jun,Swiss,Direct,357.01,30
CPH,ZRH,2025-06-01,CPH,06:50,1 Jun,ZRH,11:00,1 Jun,Brussels Airlines,Direct,213.51,30
CPH,ZRH,2025-06-01,CPH,06:05,1 Jun,ZRH,09:45,1 Jun,Lufthansa,1 stop,249.43,30
CPH,ZRH,2025-06-01,CPH,15:05,1 Jun,ZRH,16:55,1 Jun,Swiss,1 stop,471.78,30
CPH,ZRH,2025-06-01,CPH,06:05,1 Jun,ZRH,10:00,1 Jun,Lufthansa,Direct,266.57,30
CPH,ZRH,2025-06-01,CPH,06:05,1 Jun,ZRH,10:40,1 Jun,Lufthansa,1 stop,274.08,30
CPH,ZRH,2025-06-01,CPH,18:00,1 Jun,ZRH,19:45,1 Jun,Scandinavian Airlines,1 stop,677.59,30
CPH,ZRH,2025-06-01,CPH,06:30,1 Jun,ZRH,11:40,1 Jun,Scandinavian Airlines,Direct,311.76,30
CPH,ZRH,2025-06-01,CPH,09:40,1 Jun,ZRH,14:05,1 Jun,Lufthansa,1 stop,351.84,30
CPH,ZRH,2025-06-01,CPH,08:50,1 Jun,ZRH,12:15,1 Jun,Lufthansa,1 stop,432.85,30
CPH,ZRH,2025-06-01,CPH,08:05,1 Jun,ZRH,13:55,1 Jun,Scandinavian Airlines,1 stop,290.90,30
CPH,ZRH,2025-06-01,CPH,06:05,1 Jun,ZRH,10:00,1 Jun,Lufthansa,1 stop,407.38,30
CPH,ZRH,2025-06-02,CPH,20:10,2 Jun,ZRH,22:00,2 Jun,Swiss,1 stop,138.56,31
CPH,ZRH,2025-06-02,CPH,21:35,2 Jun,ZRH,20:50,3 Jun,Easyjet,Direct,112.26,31
CPH,ZRH,2025-06-02,CPH,18:00,2 Jun,ZRH,19:45,2 Jun,Scandinavian Airlines,1 stop,179.38,31
CPH,ZRH,2025-06-02,CPH,06:40,2 Jun,ZRH,08:35,2 Jun,Swiss,Direct,166.28,31
CPH,ZRH,2025-06-02,CPH,07:55,2 Jun,ZRH,09:40,2 Jun,Scandinavian Airlines,Direct,213.43,31
CPH,ZRH,2025-06-02,CPH,15:05,2 Jun,ZRH,16:50,2 Jun,Swiss,Direct,217.64,31
CPH,ZRH,2025-06-02,CPH,09:40,2 Jun,ZRH,11:35,2 Jun,Swiss,Direct,228.65,31
CPH,ZRH,2025-06-02,CPH,06:10,2 Jun,ZRH,09:45,2 Jun,Lufthansa,Direct,174.65,31
CPH,ZRH,2025-06-02,CPH,15:45,2 Jun,ZRH,20:25,2 Jun,Norwegian Air Sweden,1 stop,157.41,31
CPH,ZRH,2025-06-02,CPH,08:50,2 Jun,ZRH,12:15,2 Jun,Lufthansa,1 stop,209.17,31
CPH,ZRH,2025-06-02,CPH,12:20,2 Jun,ZRH,15:45,2 Jun,Lufthansa,1 stop,211.07,31
CPH,ZRH,2025-06-02,CPH,15:45,2 Jun,ZRH,20:10,2 Jun,Norwegian Air Sweden,1 stop,174.86,31
CPH,ZRH,2025-06-02,CPH,16:50,2 Jun,ZRH,20:55,2 Jun,Scandinavian Airlines,1 stop,202.47,31
CPH,ZRH,2025-06-02,CPH,06:50,2 Jun,ZRH,11:00,2 Jun,Brussels Airlines,1 stop,209.15,31
CPH,ZRH,2025-06-02,CPH,09:35,2 Jun,ZRH,14:05,2 Jun,Lufthansa,1 stop,203.23,31
CPH,ZRH,2025-06-03,CPH,15:05,3 Jun,ZRH,16:50,3 Jun,Swiss,1 stop,138.56,32
CPH,ZRH,2025-06-03,CPH,19:15,3 Jun,ZRH,21:00,3 Jun,Swiss,Direct,138.56,32
CPH,ZRH,2025-06-03,CPH,06:40,3 Jun,ZRH,08:35,3 Jun,Swiss,Direct,138.56,32
CPH,ZRH,2025-06-03,CPH,09:40,3 Jun,ZRH,11:35,3 Jun,Swiss,Direct,138.56,32
CPH,ZRH,2025-06-03,CPH,07:55,3 Jun,ZRH,09:40,3 Jun,Scandinavian Airlines,Direct,179.38,32
