origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
FCO,ZRH,2025-06-02,FCO,06:15,2 Jun,ZRH,07:55,2 Jun,Easyjet,1 stop,143.41,31
FCO,ZRH,2025-06-02,FCO,07:25,2 Jun,ZRH,11:55,3 Jun,Wizz Air Malta,Direct,106.8,31
FCO,ZRH,2025-06-02,FCO,20:10,2 Jun,ZRH,21:45,2 Jun,Swiss,2 stops,193.92,31
FCO,ZRH,2025-06-02,FCO,19:40,2 Jun,ZRH,21:20,2 Jun,Easyjet,Direct,165.66,31
FCO,ZRH,2025-06-02,FCO,10:45,2 Jun,ZRH,15:00,2 Jun,Eurowings,Direct,125.93,31
FCO,ZRH,2025-06-02,FCO,15:05,2 Jun,ZRH,16:45,2 Jun,Swiss,1 stop,281.19,31
FCO,ZRH,2025-06-02,FCO,10:45,2 Jun,ZRH,15:15,2 Jun,Eurowings,Direct,125.93,31
FCO,ZRH,2025-06-02,FCO,09:40,2 Jun,ZRH,11:20,2 Jun,Swiss,1 stop,318.88,31
FCO,ZRH,2025-06-02,FCO,16:40,2 Jun,ZRH,18:15,2 Jun,ITA Airways,Direct,336.23,31
FCO,ZRH,2025-06-02,FCO,20:10,2 Jun,ZRH,21:45,2 Jun,ITA Airways,Direct,384.53,31
FCO,ZRH,2025-06-02,FCO,17:50,2 Jun,ZRH,20:30,2 Jun,ITA Airways,Direct,244.32,31
FCO,ZRH,2025-06-02,FCO,15:05,2 Jun,ZRH,16:45,2 Jun,ITA Airways,1 stop,387.98,31
FCO,ZRH,2025-06-02,FCO,16:40,2 Jun,ZRH,18:15,2 Jun,Swiss,Direct,406.19,31
FCO,ZRH,2025-06-02,FCO,17:25,2 Jun,ZRH,20:35,2 Jun,ITA Airways,Direct,219.78,31
FCO,ZRH,2025-06-02,FCO,08:00,2 Jun,ZRH,12:15,2 Jun,Lufthansa,1 stop,187.67,31
FCO,ZRH,2025-06-04,FCO,06:15,4 Jun,ZRH,07:55,4 Jun,Easyjet,1 stop,51.53,33
FCO,ZRH,2025-06-04,FCO,19:40,4 Jun,ZRH,21:20,4 Jun,Easyjet,Direct,51.53,33
FCO,ZRH,2025-06-04,FCO,16:40,4 Jun,ZRH,18:15,4 Jun,ITA Airways,Direct,94.02,33
FCO,ZRH,2025-06-04,FCO,20:10,4 Jun,ZRH,21:45,4 Jun,Swiss,Direct,98.52,33
FCO,ZRH,2025-06-04,FCO,15:05,4 Jun,ZRH,16:45,4 Jun,Swiss,Direct,112.13,33
FCO,ZRH,2025-06-04,FCO,09:40,4 Jun,ZRH,11:20,4 Jun,Swiss,Direct,113.57,33
FCO,ZRH,2025-06-04,FCO,20:10,4 Jun,ZRH,21:45,4 Jun,ITA Airways,Direct,145.92,33
FCO,ZRH,2025-06-04,FCO,16:40,4 Jun,ZRH,18:15,4 Jun,Swiss,Direct,202.78,33
FCO,ZRH,2025-06-04,FCO,09:40,4 Jun,ZRH,11:20,4 Jun,ITA Airways,Direct,195.7,33
FCO,ZRH,2025-06-04,FCO,15:05,4 Jun,ZRH,16:45,4 Jun,ITA Airways,Direct,196.32,33
FCO,ZRH,2025-06-04,FCO,08:55,4 Jun,ZRH,12:15,4 Jun,Austrian Airlines,Direct,140.25,33
