origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
PRG,ZRH,2025-06-01,PRG,09:50,1 Jun,ZRH,11:15,1 Jun,Swiss,Direct,284.29,30
PRG,ZRH,2025-06-01,PRG,19:40,1 Jun,ZRH,19:05,2 Jun,Lot Polish Airlines,1 stop,166.63,30
PRG,ZRH,2025-06-01,PRG,06:20,1 Jun,ZRH,07:45,1 Jun,Swiss,1 stop,284.29,30
PRG,ZRH,2025-06-01,PRG,14:55,1 Jun,ZRH,16:15,1 Jun,Swiss,Direct,476.18,30
PRG,ZRH,2025-06-01,PRG,19:10,1 Jun,ZRH,20:30,1 Jun,Swiss,Direct,545.58,30
PRG,ZRH,2025-06-01,PRG,08:50,1 Jun,ZRH,15:35,1 Jun,Condor,Direct,184.56,30
PRG,ZRH,2025-06-01,PRG,06:00,1 Jun,ZRH,09:45,1 Jun,Lufthansa,1 stop,336.49,30
PRG,ZRH,2025-06-01,PRG,21:55,1 Jun,ZRH,06:55,2 Jun,Easyjet,1 stop,184.74,30
PRG,ZRH,2025-06-01,PRG,06:20,1 Jun,ZRH,10:00,1 Jun,Lufthansa,1 stop,393.88,30
PRG,ZRH,2025-06-01,PRG,11:40,1 Jun,ZRH,15:45,1 Jun,Lufthansa,1 stop,401.43,30
PRG,ZRH,2025-06-01,PRG,11:40,1 Jun,ZRH,15:35,1 Jun,Lufthansa,1 stop,415.17,30
PRG,ZRH,2025-06-01,PRG,06:40,1 Jun,ZRH,11:20,1 Jun,Eurowings,1 stop,374.00,30
PRG,ZRH,2025-06-01,PRG,08:45,1 Jun,ZRH,15:50,1 Jun,Easyjet,1 stop,273.87,30
PRG,ZRH,2025-06-01,PRG,21:55,1 Jun,ZRH,06:55,2 Jun,Easyjet,1 stop,229.29,30
PRG,ZRH,2025-06-01,PRG,19:50,1 Jun,ZRH,09:15,2 Jun,Easyjet,1 stop,176.40,30
PRG,ZRH,2025-06-02,PRG,19:10,2 Jun,ZRH,20:30,2 Jun,Swiss,1 stop,194.31,31
PRG,ZRH,2025-06-02,PRG,14:55,2 Jun,ZRH,16:15,2 Jun,Swiss,Direct,284.29,31
PRG,ZRH,2025-06-02,PRG,06:20,2 Jun,ZRH,07:45,2 Jun,Swiss,Direct,284.29,31
PRG,ZRH,2025-06-02,PRG,09:50,2 Jun,ZRH,11:15,2 Jun,Swiss,Direct,284.29,31
PRG,ZRH,2025-06-02,PRG,18:35,2 Jun,ZRH,22:25,2 Jun,KLM,Direct,189.04,31
PRG,ZRH,2025-06-02,PRG,07:25,2 Jun,ZRH,15:00,2 Jun,Eurowings,1 stop,118.68,31
PRG,ZRH,2025-06-02,PRG,16:45,2 Jun,ZRH,20:00,2 Jun,Austrian Airlines,1 stop,231.60,31
PRG,ZRH,2025-06-02,PRG,07:25,2 Jun,ZRH,10:55,2 Jun,Eurowings,1 stop,231.97,31
PRG,ZRH,2025-06-02,PRG,08:50,2 Jun,ZRH,15:45,2 Jun,Condor,1 stop,158.05,31
PRG,ZRH,2025-06-02,PRG,07:25,2 Jun,ZRH,10:55,2 Jun,SmartWings,1 stop,284.16,31
PRG,ZRH,2025-06-02,PRG,14:30,2 Jun,ZRH,19:15,2 Jun,Lufthansa,1 stop,234.17,31
PRG,ZRH,2025-06-02,PRG,16:45,2 Jun,ZRH,21:35,2 Jun,Austrian Airlines,1 stop,231.64,31
PRG,ZRH,2025-06-02,PRG,14:15,2 Jun,ZRH,18:35,2 Jun,Air France,1 stop,255.53,31
PRG,ZRH,2025-06-02,PRG,12:45,2 Jun,ZRH,19:05,2 Jun,Lot Polish Airlines,1 stop,192.37,31
PRG,ZRH,2025-06-02,PRG,11:15,2 Jun,ZRH,14:20,2 Jun,Austrian Airlines,1 stop,333.87,31
PRG,ZRH,2025-06-03,PRG,19:10,3 Jun,ZRH,20:30,3 Jun,Swiss,1 stop,161.71,32
PRG,ZRH,2025-06-03,PRG,21:00,3 Jun,ZRH,14:15,4 Jun,Wizz Air UK,Direct,85.15,32
PRG,ZRH,2025-06-03,PRG,14:55,3 Jun,ZRH,16:15,3 Jun,Swiss,1 stop,194.31,32
PRG,ZRH,2025-06-03,PRG,06:20,3 Jun,ZRH,07:45,3 Jun,Swiss,Direct,194.31,32
PRG,ZRH,2025-06-03,PRG,09:50,3 Jun,ZRH,11:15,3 Jun,Swiss,Direct,194.31,32
PRG,ZRH,2025-06-03,PRG,18:35,3 Jun,ZRH,22:25,3 Jun,KLM,Direct,97.48,32
PRG,ZRH,2025-06-03,PRG,06:00,3 Jun,ZRH,11:05,3 Jun,KLM,1 stop,97.48,32
PRG,ZRH,2025-06-03,PRG,14:15,3 Jun,ZRH,18:35,3 Jun,Air France,1 stop,121.91,32
PRG,ZRH,2025-06-03,PRG,11:15,3 Jun,ZRH,16:45,3 Jun,KLM,1 stop,125.71,32
PRG,ZRH,2025-06-03,PRG,11:15,3 Jun,ZRH,14:20,3 Jun,Austrian Airlines,1 stop,195.20,32
PRG,ZRH,2025-06-03,PRG,16:45,3 Jun,ZRH,20:00,3 Jun,Austrian Airlines,1 stop,195.20,32
PRG,ZRH,2025-06-03,PRG,14:30,3 Jun,ZRH,18:40,3 Jun,KLM,1 stop,175.87,32
PRG,ZRH,2025-06-03,PRG,12:45,3 Jun,ZRH,19:05,3 Jun,Lot Polish Airlines,1 stop,129.02,32
PRG,ZRH,2025-06-03,PRG,15:20,3 Jun,ZRH,18:35,3 Jun,Eurowings,1 stop,217.87,32
PRG,ZRH,2025-06-03,PRG,11:40,3 Jun,ZRH,15:45,3 Jun,Lufthansa,1 stop,197.83,32
