origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
ZRH,CDG,2025-06-01,ZRH,21:50,1 Jun,CDG,23:05,1 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF264.33,31
ZRH,CDG,2025-06-01,ZRH,19:25,1 Jun,CDG,07:55,2 Jun,KLM,1 stop,CHF177.16,31
ZRH,CDG,2025-06-01,ZRH,07:25,1 Jun,CDG,08:55,1 Jun,"Swiss, operated by Edelweiss Air",Cheapest direct,CHF261.95,31
ZRH,CDG,2025-06-01,ZRH,19:30,1 Jun,CDG,20:50,1 Jun,Air France,Direct,CHF261.96,31
ZRH,CDG,2025-06-01,ZRH,12:45,1 Jun,CDG,14:05,1 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF271.13,31
ZRH,CDG,2025-06-01,ZRH,11:20,1 Jun,CDG,12:45,1 Jun,Air France,Direct,CHF261.96,31
ZRH,CDG,2025-06-01,ZRH,07:45,1 Jun,CDG,09:10,1 Jun,Air France,Direct,CHF269.54,31
ZRH,CDG,2025-06-01,ZRH,17:30,1 Jun,CDG,18:50,1 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF428.40,31
ZRH,CDG,2025-06-01,ZRH,16:00,1 Jun,CDG,20:10,1 Jun,Eurowings,Direct,CHF229.70,31
ZRH,CDG,2025-06-01,ZRH,17:35,1 Jun,CDG,21:50,1 Jun,KLM,1 stop,CHF290.63,31
ZRH,CDG,2025-06-01,ZRH,18:55,1 Jun,CDG,22:55,1 Jun,"Lufthansa, operated by Swiss",1 stop,CHF334.40,31
ZRH,CDG,2025-06-01,ZRH,07:00,1 Jun,CDG,10:50,1 Jun,KLM,1 stop,CHF346.06,31
ZRH,CDG,2025-06-01,ZRH,09:30,1 Jun,CDG,13:50,1 Jun,"Lufthansa, operated by Air Dolomiti",1 stop,CHF324.65,31
ZRH,CDG,2025-06-01,ZRH,19:15,1 Jun,CDG,23:40,1 Jun,"Lufthansa, operated by Swiss",1 stop,CHF330.75,31
ZRH,CDG,2025-06-01,ZRH,16:00,1 Jun,CDG,20:10,1 Jun,"Swiss, operated by Eurowings, Eurowings",1 stop,CHF348.80,31
ZRH,CDG,2025-06-02,ZRH,19:30,2 Jun,CDG,20:50,2 Jun,Air France,Cheapest direct,CHF143.25,32
ZRH,CDG,2025-06-02,ZRH,17:35,2 Jun,CDG,21:50,2 Jun,KLM,Direct,CHF111.44,32
ZRH,CDG,2025-06-02,ZRH,21:50,2 Jun,CDG,23:05,2 Jun,"Swiss, operated by Air Baltic Corporation",1 stop,CHF164.94,32
ZRH,CDG,2025-06-02,ZRH,14:50,2 Jun,CDG,16:10,2 Jun,Air France,Direct,CHF157.43,32
ZRH,CDG,2025-06-02,ZRH,17:30,2 Jun,CDG,18:50,2 Jun,Swiss,Direct,CHF164.94,32
ZRH,CDG,2025-06-02,ZRH,11:20,2 Jun,CDG,12:45,2 Jun,Air France,Direct,CHF173.41,32
ZRH,CDG,2025-06-02,ZRH,12:45,2 Jun,CDG,14:05,2 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF240.63,32
ZRH,CDG,2025-06-02,ZRH,07:25,2 Jun,CDG,08:55,2 Jun,Swiss,Direct,CHF230.87,32
ZRH,CDG,2025-06-02,ZRH,07:45,2 Jun,CDG,09:10,2 Jun,Air France,Direct,CHF330.68,32
ZRH,CDG,2025-06-02,ZRH,18:55,2 Jun,CDG,23:00,2 Jun,British Airways,Direct,CHF164.98,32
ZRH,CDG,2025-06-02,ZRH,14:20,2 Jun,CDG,18:10,2 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF201.08,32
ZRH,CDG,2025-06-02,ZRH,14:40,2 Jun,CDG,18:35,2 Jun,"Lufthansa, operated by City Jet",1 stop,CHF201.77,32
ZRH,CDG,2025-06-02,ZRH,18:55,2 Jun,CDG,22:55,2 Jun,"Lufthansa, operated by Swiss",1 stop,CHF201.78,32
ZRH,CDG,2025-06-02,ZRH,14:20,2 Jun,CDG,19:05,2 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF182.49,32
ZRH,CDG,2025-06-02,ZRH,07:00,2 Jun,CDG,12:55,2 Jun,KLM,1 stop,CHF156.79,32
ZRH,CDG,2025-06-03,ZRH,14:50,3 Jun,CDG,16:10,3 Jun,Air France,Cheapest direct,CHF143.25,33
ZRH,CDG,2025-06-03,ZRH,19:30,3 Jun,CDG,20:50,3 Jun,Air France,Direct,CHF143.25,33
ZRH,CDG,2025-06-03,ZRH,07:45,3 Jun,CDG,09:10,3 Jun,Air France,Direct,CHF143.25,33
ZRH,CDG,2025-06-03,ZRH,11:20,3 Jun,CDG,12:45,3 Jun,Air France,Direct,CHF143.25,33
ZRH,CDG,2025-06-03,ZRH,21:50,3 Jun,CDG,23:05,3 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF164.94,33
ZRH,CDG,2025-06-03,ZRH,12:45,3 Jun,CDG,14:05,3 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF164.94,33
ZRH,CDG,2025-06-03,ZRH,17:30,3 Jun,CDG,18:50,3 Jun,Swiss,Direct,CHF164.94,33
ZRH,CDG,2025-06-03,ZRH,07:25,3 Jun,CDG,08:55,3 Jun,Swiss,Direct,CHF164.94,33
ZRH,CDG,2025-06-03,ZRH,07:00,3 Jun,CDG,10:50,3 Jun,KLM,Direct,CHF120.34,33
ZRH,CDG,2025-06-03,ZRH,14:20,3 Jun,CDG,18:10,3 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF120.34,33
ZRH,CDG,2025-06-03,ZRH,14:20,3 Jun,CDG,19:05,3 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF107.03,33
ZRH,CDG,2025-06-03,ZRH,07:00,3 Jun,CDG,11:55,3 Jun,KLM,1 stop,CHF107.03,33
ZRH,CDG,2025-06-03,ZRH,17:35,3 Jun,CDG,21:50,3 Jun,KLM,1 stop,CHF120.34,33
ZRH,CDG,2025-06-03,ZRH,14:20,3 Jun,CDG,20:05,3 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF107.03,33
ZRH,CDG,2025-06-03,ZRH,14:20,3 Jun,CDG,21:50,3 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF107.03,33
ZRH,CDG,2025-06-04,ZRH,19:30,4 Jun,CDG,20:50,4 Jun,Air France,Direct,CHF143.27,34
ZRH,CDG,2025-06-04,ZRH,19:05,4 Jun,CDG,23:40,4 Jun,ITA Airways,1 stop,CHF81.15,34
ZRH,CDG,2025-06-04,ZRH,14:50,4 Jun,CDG,16:10,4 Jun,Air France,Cheapest direct,CHF143.27,34
ZRH,CDG,2025-06-04,ZRH,21:50,4 Jun,CDG,23:05,4 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF164.94,34
ZRH,CDG,2025-06-04,ZRH,11:20,4 Jun,CDG,12:45,4 Jun,Air France,Direct,CHF143.27,34
ZRH,CDG,2025-06-04,ZRH,17:30,4 Jun,CDG,18:50,4 Jun,Swiss,Direct,CHF164.94,34
ZRH,CDG,2025-06-04,ZRH,07:25,4 Jun,CDG,08:55,4 Jun,Swiss,Direct,CHF164.94,34
ZRH,CDG,2025-06-04,ZRH,12:45,4 Jun,CDG,14:05,4 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF197.24,34
ZRH,CDG,2025-06-04,ZRH,07:45,4 Jun,CDG,09:10,4 Jun,Air France,Direct,CHF237.41,34
ZRH,CDG,2025-06-04,ZRH,11:50,4 Jun,CDG,15:55,4 Jun,KLM,Direct,CHF116.99,34
ZRH,CDG,2025-06-04,ZRH,17:35,4 Jun,CDG,21:50,4 Jun,KLM,1 stop,CHF116.99,34
ZRH,CDG,2025-06-04,ZRH,07:00,4 Jun,CDG,12:55,4 Jun,KLM,1 stop,CHF107.53,34
ZRH,CDG,2025-06-04,ZRH,14:20,4 Jun,CDG,20:05,4 Jun,"KLM, operated by KLM Cityhopper",1 stop,CHF111.36,34
ZRH,CDG,2025-06-04,ZRH,09:20,4 Jun,CDG,15:30,4 Jun,KLM,1 stop,CHF109.41,34
ZRH,CDG,2025-06-04,ZRH,09:20,4 Jun,CDG,15:55,4 Jun,KLM,1 stop,CHF109.41,34
ZRH,CDG,2025-06-05,ZRH,14:50,5 Jun,CDG,16:10,5 Jun,Air France,Cheapest direct,CHF143.27,35
ZRH,CDG,2025-06-05,ZRH,21:50,5 Jun,CDG,23:05,5 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF164.94,35
ZRH,CDG,2025-06-05,ZRH,17:30,5 Jun,CDG,18:50,5 Jun,Swiss,Direct,CHF164.94,35
ZRH,CDG,2025-06-05,ZRH,07:25,5 Jun,CDG,08:55,5 Jun,Swiss,Direct,CHF164.94,35
ZRH,CDG,2025-06-05,ZRH,12:45,5 Jun,CDG,14:05,5 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF197.24,35
ZRH,CDG,2025-06-05,ZRH,11:20,5 Jun,CDG,12:45,5 Jun,Air France,Direct,CHF237.41,35
ZRH,CDG,2025-06-05,ZRH,19:05,5 Jun,CDG,23:40,5 Jun,ITA Airways,Direct,CHF90.97,35
ZRH,CDG,2025-06-05,ZRH,19:30,5 Jun,CDG,20:50,5 Jun,Air France,1 stop,CHF261.96,35
ZRH,CDG,2025-06-05,ZRH,07:45,5 Jun,CDG,09:10,5 Jun,Air France,Direct,CHF261.96,35
ZRH,CDG,2025-06-05,ZRH,11:50,5 Jun,CDG,15:55,5 Jun,KLM,Direct,CHF135.67,35
ZRH,CDG,2025-06-05,ZRH,17:35,5 Jun,CDG,21:50,5 Jun,KLM,1 stop,CHF166.04,35
ZRH,CDG,2025-06-05,ZRH,11:50,5 Jun,CDG,17:10,5 Jun,KLM,1 stop,CHF149.91,35
ZRH,CDG,2025-06-05,ZRH,14:40,5 Jun,CDG,18:35,5 Jun,"Lufthansa, operated by City Jet",1 stop,CHF201.77,35
ZRH,CDG,2025-06-05,ZRH,18:55,5 Jun,CDG,22:55,5 Jun,"Lufthansa, operated by Swiss",1 stop,CHF201.78,35
ZRH,CDG,2025-06-05,ZRH,11:50,5 Jun,CDG,19:05,5 Jun,KLM,1 stop,CHF135.67,35
ZRH,CDG,2025-06-06,ZRH,14:50,6 Jun,CDG,16:10,6 Jun,Air France,Cheapest direct,CHF143.25,36
ZRH,CDG,2025-06-06,ZRH,19:30,6 Jun,CDG,20:50,6 Jun,Air France,Direct,CHF194.19,36
ZRH,CDG,2025-06-06,ZRH,07:25,6 Jun,CDG,08:55,6 Jun,Swiss,Direct,CHF197.24,36
ZRH,CDG,2025-06-06,ZRH,12:45,6 Jun,CDG,14:05,6 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF240.63,36
ZRH,CDG,2025-06-06,ZRH,17:30,6 Jun,CDG,18:50,6 Jun,Swiss,Direct,CHF240.63,36
ZRH,CDG,2025-06-06,ZRH,11:20,6 Jun,CDG,12:45,6 Jun,Air France,Direct,CHF237.41,36
ZRH,CDG,2025-06-06,ZRH,21:50,6 Jun,CDG,23:05,6 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF272.71,36
ZRH,CDG,2025-06-06,ZRH,07:45,6 Jun,CDG,09:10,6 Jun,Air France,Direct,CHF313.70,36
ZRH,CDG,2025-06-06,ZRH,10:55,6 Jun,CDG,17:20,6 Jun,ITA Airways,Direct,CHF104.52,36
ZRH,CDG,2025-06-06,ZRH,19:05,6 Jun,CDG,23:40,6 Jun,ITA Airways,1 stop,CHF185.40,36
ZRH,CDG,2025-06-06,ZRH,08:00,6 Jun,CDG,16:30,6 Jun,Condor,1 stop,CHF138.36,36
ZRH,CDG,2025-06-06,ZRH,10:55,6 Jun,CDG,23:40,6 Jun,ITA Airways,1 stop,CHF104.01,36
ZRH,CDG,2025-06-06,ZRH,14:40,6 Jun,CDG,18:35,6 Jun,"Lufthansa, operated by City Jet",1 stop,CHF285.48,36
ZRH,CDG,2025-06-06,ZRH,18:55,6 Jun,CDG,22:55,6 Jun,"Lufthansa, operated by Swiss",1 stop,CHF285.50,36
