origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
ZRH,CPH,2025-06-01,ZRH,07:10,1 Jun,CPH,08:55,1 Jun,"Swiss, operated by Helvetic Airways",Cheapest direct,CHF277.96,31
ZRH,CPH,2025-06-01,ZRH,10:20,1 Jun,CPH,12:05,1 Jun,"Scandinavian Airlines, operated by Sas Connect",Direct,CHF317.79,31
ZRH,CPH,2025-06-01,ZRH,20:25,1 Jun,CPH,22:10,1 Jun,"Scandinavian Airlines, operated by Sas Link",Direct,CHF317.79,31
ZRH,CPH,2025-06-01,ZRH,21:35,1 Jun,CPH,23:25,1 Jun,Swiss,Direct,CHF315.91,31
ZRH,CPH,2025-06-01,ZRH,12:30,1 Jun,CPH,14:15,1 Jun,Swiss,Direct,CHF384.90,31
ZRH,CPH,2025-06-01,ZRH,07:10,1 Jun,CPH,11:15,1 Jun,"Swiss, operated by Helvetic Airways, Scandinavian Airlines",Direct,CHF213.38,31
ZRH,CPH,2025-06-01,ZRH,17:30,1 Jun,CPH,19:20,1 Jun,Swiss,1 stop,CHF452.53,31
ZRH,CPH,2025-06-01,ZRH,15:40,1 Jun,CPH,20:15,1 Jun,Eurowings,Direct,CHF244.74,31
ZRH,CPH,2025-06-01,ZRH,10:50,1 Jun,CPH,16:15,1 Jun,Finnair,1 stop,CHF220.87,31
ZRH,CPH,2025-06-01,ZRH,10:50,1 Jun,CPH,23:10,1 Jun,Finnair,1 stop,CHF135.78,31
ZRH,CPH,2025-06-01,ZRH,19:15,1 Jun,CPH,23:30,1 Jun,"Lufthansa, operated by Swiss",1 stop,CHF324.37,31
ZRH,CPH,2025-06-01,ZRH,14:40,1 Jun,CPH,18:25,1 Jun,"Lufthansa, operated by City Jet",1 stop,CHF387.41,31
ZRH,CPH,2025-06-01,ZRH,17:35,1 Jun,CPH,22:30,1 Jun,KLM,1 stop,CHF319.65,31
ZRH,CPH,2025-06-01,ZRH,18:45,1 Jun,CPH,22:40,1 Jun,Austrian Airlines,1 stop,CHF384.84,31
ZRH,CPH,2025-06-01,ZRH,16:00,1 Jun,CPH,20:55,1 Jun,"Eurowings, Scandinavian Airlines, operated by City Jet",1 stop,CHF328.61,31
ZRH,CPH,2025-06-02,ZRH,21:35,2 Jun,CPH,23:25,2 Jun,Swiss,Cheapest direct,CHF150.83,32
ZRH,CPH,2025-06-02,ZRH,07:10,2 Jun,CPH,08:55,2 Jun,"Swiss, operated by Air Baltic Corporation",Direct,CHF229.52,32
ZRH,CPH,2025-06-02,ZRH,17:30,2 Jun,CPH,19:20,2 Jun,Swiss,Direct,CHF229.52,32
ZRH,CPH,2025-06-02,ZRH,10:20,2 Jun,CPH,12:05,2 Jun,Scandinavian Airlines,Direct,CHF241.40,32
ZRH,CPH,2025-06-02,ZRH,20:25,2 Jun,CPH,22:10,2 Jun,"Scandinavian Airlines, operated by Jettime A/S",Direct,CHF241.40,32
ZRH,CPH,2025-06-02,ZRH,12:30,2 Jun,CPH,14:15,2 Jun,Swiss,Direct,CHF267.37,32
ZRH,CPH,2025-06-02,ZRH,17:35,2 Jun,CPH,22:30,2 Jun,KLM,Direct,CHF113.21,32
ZRH,CPH,2025-06-02,ZRH,15:40,2 Jun,CPH,20:05,2 Jun,Eurowings,1 stop,CHF154.58,32
ZRH,CPH,2025-06-02,ZRH,14:40,2 Jun,CPH,18:25,2 Jun,"Lufthansa, operated by City Jet",1 stop,CHF187.63,32
ZRH,CPH,2025-06-02,ZRH,08:10,2 Jun,CPH,12:05,2 Jun,Easyjet,1 stop,CHF195.74,32
ZRH,CPH,2025-06-02,ZRH,10:50,2 Jun,CPH,16:15,2 Jun,Finnair,1 stop,CHF163.60,32
