origin,destination,date_queried,departure_airport,departure_time,departure_date,arrival_airport,arrival_time,arrival_date,airline,number_of_stops,price,days_until_flight
ZRH,FCO,2025-06-01,ZRH,21:55,1 Jun,FCO,23:30,1 Jun,Easyjet,Cheapest direct,CHF51.66,31
ZRH,FCO,2025-06-01,ZRH,19:05,1 Jun,FCO,20:35,1 Jun,ITA Airways,Direct,CHF98.90,31
ZRH,FCO,2025-06-01,ZRH,08:30,1 Jun,FCO,10:05,1 Jun,Easyjet,Direct,CHF70.33,31
ZRH,FCO,2025-06-01,ZRH,10:55,1 Jun,FCO,12:25,1 Jun,ITA Airways,Direct,CHF128.51,31
ZRH,FCO,2025-06-01,ZRH,12:45,1 Jun,FCO,14:15,1 Jun,Swiss,Direct,CHF135.68,31
ZRH,FCO,2025-06-01,ZRH,07:15,1 Jun,FCO,08:50,1 Jun,Swiss,Direct,CHF135.68,31
ZRH,FCO,2025-06-01,ZRH,17:45,1 Jun,FCO,19:20,1 Jun,Swiss,Direct,CHF135.68,31
ZRH,FCO,2025-06-01,ZRH,12:45,1 Jun,FCO,14:15,1 Jun,"ITA Airways, operated by Swiss",Direct,CHF190.95,31
ZRH,FCO,2025-06-01,ZRH,07:15,1 Jun,FCO,08:50,1 Jun,"ITA Airways, operated by Swiss",Direct,CHF190.96,31
ZRH,FCO,2025-06-01,ZRH,17:45,1 Jun,FCO,19:20,1 Jun,"ITA Airways, operated by Swiss",Direct,CHF190.96,31
ZRH,FCO,2025-06-01,ZRH,10:55,1 Jun,FCO,12:25,1 Jun,"Swiss, operated by Ita Airways",Direct,CHF199.30,31
ZRH,FCO,2025-06-01,ZRH,19:05,1 Jun,FCO,20:35,1 Jun,"Swiss, operated by Ita Airways",Direct,CHF229.58,31
ZRH,FCO,2025-06-01,ZRH,09:30,1 Jun,FCO,13:55,1 Jun,"Air Serbia, operated by Bulgaria Air For Air Serbia",Direct,CHF130.56,31
ZRH,FCO,2025-06-01,ZRH,09:45,1 Jun,FCO,17:05,1 Jun,Vueling,1 stop,CHF90.08,31
ZRH,FCO,2025-06-01,ZRH,19:15,1 Jun,FCO,23:45,1 Jun,Vueling,1 stop,CHF131.36,31
ZRH,FCO,2025-06-02,ZRH,08:30,2 Jun,FCO,10:05,2 Jun,Easyjet,Cheapest direct,CHF90.01,32
ZRH,FCO,2025-06-02,ZRH,19:05,2 Jun,FCO,20:35,2 Jun,ITA Airways,Direct,CHF98.90,32
ZRH,FCO,2025-06-02,ZRH,21:55,2 Jun,FCO,23:30,2 Jun,Easyjet,Direct,CHF98.08,32
ZRH,FCO,2025-06-02,ZRH,07:20,2 Jun,FCO,08:50,2 Jun,Swiss,Direct,CHF135.68,32
ZRH,FCO,2025-06-02,ZRH,12:45,2 Jun,FCO,14:15,2 Jun,Swiss,Direct,CHF164.92,32
ZRH,FCO,2025-06-02,ZRH,07:20,2 Jun,FCO,08:50,2 Jun,"ITA Airways, operated by Swiss",Direct,CHF190.95,32
ZRH,FCO,2025-06-02,ZRH,17:45,2 Jun,FCO,19:20,2 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF191.27,32
ZRH,FCO,2025-06-02,ZRH,12:45,2 Jun,FCO,14:15,2 Jun,"ITA Airways, operated by Swiss",Direct,CHF284.56,32
ZRH,FCO,2025-06-02,ZRH,19:05,2 Jun,FCO,20:35,2 Jun,"Swiss, operated by Ita Airways",Direct,CHF297.20,32
ZRH,FCO,2025-06-02,ZRH,17:45,2 Jun,FCO,19:20,2 Jun,"ITA Airways, operated by Helvetic Airways For Swiss Int Air Lines",Direct,CHF287.64,32
ZRH,FCO,2025-06-02,ZRH,07:15,2 Jun,FCO,11:35,2 Jun,"Lufthansa, operated by Helvetic Airways For Swiss",Direct,CHF164.93,32
ZRH,FCO,2025-06-02,ZRH,08:15,2 Jun,FCO,12:30,2 Jun,Lufthansa,1 stop,CHF172.49,32
ZRH,FCO,2025-06-02,ZRH,16:55,2 Jun,FCO,21:55,2 Jun,"Lufthansa, operated by Swiss",1 stop,CHF164.93,32
ZRH,FCO,2025-06-02,ZRH,18:55,2 Jun,FCO,23:40,2 Jun,"Lufthansa, operated by Swiss",1 stop,CHF172.50,32
ZRH,FCO,2025-06-02,ZRH,08:30,2 Jun,FCO,12:15,2 Jun,"Easyjet, ITA Airways",1 stop,CHF221.80,32
ZRH,FCO,2025-06-03,ZRH,08:30,3 Jun,FCO,10:05,3 Jun,Easyjet,Cheapest direct,CHF51.66,33
ZRH,FCO,2025-06-03,ZRH,10:55,3 Jun,FCO,12:25,3 Jun,ITA Airways,Direct,CHF98.90,33
ZRH,FCO,2025-06-03,ZRH,21:55,3 Jun,FCO,23:30,3 Jun,Easyjet,Direct,CHF51.66,33
ZRH,FCO,2025-06-03,ZRH,19:05,3 Jun,FCO,20:35,3 Jun,ITA Airways,Direct,CHF98.90,33
ZRH,FCO,2025-06-03,ZRH,17:45,3 Jun,FCO,19:20,3 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF105.38,33
ZRH,FCO,2025-06-03,ZRH,07:20,3 Jun,FCO,08:50,3 Jun,Swiss,Direct,CHF135.68,33
ZRH,FCO,2025-06-03,ZRH,12:45,3 Jun,FCO,14:15,3 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF187.45,33
ZRH,FCO,2025-06-03,ZRH,07:20,3 Jun,FCO,08:50,3 Jun,"ITA Airways, operated by Swiss",Direct,CHF190.95,33
ZRH,FCO,2025-06-03,ZRH,10:55,3 Jun,FCO,12:25,3 Jun,"Swiss, operated by Ita Airways",Direct,CHF199.30,33
ZRH,FCO,2025-06-03,ZRH,17:45,3 Jun,FCO,19:20,3 Jun,"ITA Airways, operated by Helvetic Airways For Swiss Int Air Lines",Direct,CHF192.27,33
ZRH,FCO,2025-06-03,ZRH,12:45,3 Jun,FCO,14:15,3 Jun,"ITA Airways, operated by Helvetic Airways For Swiss Int Air Lines",Direct,CHF287.63,33
ZRH,FCO,2025-06-03,ZRH,13:20,3 Jun,FCO,16:55,3 Jun,Austrian Airlines,Direct,CHF135.57,33
ZRH,FCO,2025-06-03,ZRH,09:35,3 Jun,FCO,14:05,3 Jun,Vueling,1 stop,CHF118.08,33
ZRH,FCO,2025-06-03,ZRH,18:10,3 Jun,FCO,00:20,4 Jun,"Easyjet, Vueling",1 stop,CHF102.17,33
ZRH,FCO,2025-06-03,ZRH,18:10,3 Jun,FCO,00:55,4 Jun,"Easyjet, Wizz Air Malta",1 stop,CHF96.50,33
ZRH,FCO,2025-06-04,ZRH,21:55,4 Jun,FCO,23:30,4 Jun,Easyjet,Cheapest direct,CHF51.66,34
ZRH,FCO,2025-06-04,ZRH,19:05,4 Jun,FCO,20:35,4 Jun,ITA Airways,Direct,CHF98.91,34
ZRH,FCO,2025-06-04,ZRH,08:30,4 Jun,FCO,10:05,4 Jun,Easyjet,Direct,CHF52.67,34
ZRH,FCO,2025-06-04,ZRH,17:45,4 Jun,FCO,19:20,4 Jun,Swiss,Direct,CHF135.68,34
ZRH,FCO,2025-06-04,ZRH,07:20,4 Jun,FCO,08:50,4 Jun,Swiss,Direct,CHF165.94,34
ZRH,FCO,2025-06-04,ZRH,12:45,4 Jun,FCO,14:15,4 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF234.57,34
ZRH,FCO,2025-06-04,ZRH,17:45,4 Jun,FCO,19:20,4 Jun,"ITA Airways, operated by Swiss",Direct,CHF248.35,34
ZRH,FCO,2025-06-04,ZRH,09:35,4 Jun,FCO,14:05,4 Jun,Vueling,Direct,CHF109.07,34
ZRH,FCO,2025-06-04,ZRH,07:20,4 Jun,FCO,08:50,4 Jun,"ITA Airways, operated by Swiss",1 stop,CHF284.56,34
ZRH,FCO,2025-06-04,ZRH,19:05,4 Jun,FCO,20:35,4 Jun,"Swiss, operated by Ita Airways",Direct,CHF297.20,34
ZRH,FCO,2025-06-04,ZRH,07:30,4 Jun,FCO,13:55,4 Jun,Iberia,Direct,CHF108.65,34
ZRH,FCO,2025-06-04,ZRH,14:35,4 Jun,FCO,19:40,4 Jun,Air Serbia,1 stop,CHF130.56,34
ZRH,FCO,2025-06-04,ZRH,12:55,4 Jun,FCO,17:05,4 Jun,"Brussels Airlines, operated by Swiss",1 stop,CHF169.24,34
ZRH,FCO,2025-06-04,ZRH,07:15,4 Jun,FCO,11:35,4 Jun,"Lufthansa, operated by Helvetic Airways For Swiss",1 stop,CHF164.93,34
ZRH,FCO,2025-06-04,ZRH,09:35,4 Jun,FCO,17:50,4 Jun,Vueling,1 stop,CHF102.90,34
ZRH,FCO,2025-06-05,ZRH,21:55,5 Jun,FCO,23:30,5 Jun,Easyjet,Cheapest direct,CHF80.43,35
ZRH,FCO,2025-06-05,ZRH,08:30,5 Jun,FCO,10:05,5 Jun,Easyjet,Direct,CHF98.08,35
ZRH,FCO,2025-06-05,ZRH,19:05,5 Jun,FCO,20:35,5 Jun,ITA Airways,Direct,CHF157.25,35
ZRH,FCO,2025-06-05,ZRH,17:45,5 Jun,FCO,19:20,5 Jun,Swiss,Direct,CHF233.44,35
ZRH,FCO,2025-06-05,ZRH,07:20,5 Jun,FCO,08:50,5 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF276.19,35
ZRH,FCO,2025-06-05,ZRH,12:45,5 Jun,FCO,14:15,5 Jun,"Swiss, operated by Helvetic Airways",Direct,CHF330.61,35
ZRH,FCO,2025-06-05,ZRH,18:55,5 Jun,FCO,23:10,5 Jun,"Lufthansa, operated by Swiss",Direct,CHF172.50,35
ZRH,FCO,2025-06-05,ZRH,07:20,5 Jun,FCO,08:50,5 Jun,"ITA Airways, operated by Helvetic Airways For Swiss Int Air Lines",1 stop,CHF438.32,35
ZRH,FCO,2025-06-05,ZRH,13:15,5 Jun,FCO,18:05,5 Jun,"Lufthansa, operated by Helvetic Airways For Swiss",Direct,CHF164.95,35
ZRH,FCO,2025-06-05,ZRH,16:55,5 Jun,FCO,21:55,5 Jun,"Lufthansa, operated by Swiss",1 stop,CHF164.93,35
ZRH,FCO,2025-06-05,ZRH,17:45,5 Jun,FCO,19:20,5 Jun,"ITA Airways, operated by Swiss",1 stop,CHF445.62,35
ZRH,FCO,2025-06-05,ZRH,18:05,5 Jun,FCO,23:10,5 Jun,Lufthansa,Direct,CHF172.49,35
ZRH,FCO,2025-06-05,ZRH,09:35,5 Jun,FCO,14:05,5 Jun,Vueling,1 stop,CHF210.11,35
ZRH,FCO,2025-06-05,ZRH,10:15,5 Jun,FCO,16:05,5 Jun,"Easyjet, ITA Airways",1 stop,CHF173.40,35
